step,epoch,train_loss,val_loss,lr,tokens_per_sec,gpu_mem_gb
279,1,1.294241,,2.394508e-03,989009.6,4.876
280,1,1.369735,,2.389853e-03,987467.6,4.876
281,1,1.374299,,2.385185e-03,991560.4,4.876
282,1,1.339231,,2.380504e-03,991143.9,4.876
283,1,1.288665,,2.375811e-03,987685.8,4.876
284,1,1.318529,,2.371106e-03,991903.9,4.876
285,1,1.351649,,2.366389e-03,988625.4,4.876
286,1,1.354662,,2.361659e-03,992168.9,4.876
287,1,1.312758,,2.356917e-03,983933.0,4.876
288,1,1.298875,,2.352163e-03,986484.2,4.876
289,1,1.305475,,2.347397e-03,989515.1,4.876
290,1,1.270772,,2.342619e-03,987803.0,4.876
291,1,1.299627,,2.337829e-03,992245.9,4.876
292,1,1.256452,,2.333028e-03,986755.1,4.876
293,1,1.290215,,2.328215e-03,986475.4,4.876
294,1,1.252047,,2.323391e-03,986082.6,4.876
295,1,1.236782,,2.318555e-03,985398.5,4.876
296,1,1.237763,,2.313707e-03,986829.5,4.876
297,1,1.256559,,2.308848e-03,988310.8,4.876
298,1,1.238358,,2.303978e-03,987499.6,4.876
299,1,1.327721,,2.299097e-03,991188.6,4.876
300,1,1.292783,1.316919,2.294205e-03,987985.8,4.876
301,1,1.363887,,2.289302e-03,988090.6,4.876
302,1,1.283709,,2.284388e-03,986087.9,4.876
303,1,1.327221,,2.279463e-03,985365.0,4.876
304,1,1.246593,,2.274528e-03,983781.5,4.876
305,1,1.330017,,2.269581e-03,985232.5,4.876
306,1,1.297334,,2.264625e-03,989111.0,4.876
307,1,1.339049,,2.259657e-03,983362.7,4.876
308,1,1.256205,,2.254680e-03,984937.8,4.876
309,1,1.322903,,2.249692e-03,991081.4,4.876
310,1,1.308304,,2.244694e-03,985594.6,4.876
311,1,1.309824,,2.239685e-03,980862.6,4.876
312,1,1.269029,,2.234667e-03,983009.3,4.876
313,1,1.295131,,2.229639e-03,986826.0,4.876
314,1,1.340508,,2.224600e-03,984098.5,4.876
315,1,1.205941,,2.219552e-03,988110.1,4.876
316,1,1.237908,,2.214495e-03,988781.9,4.876
317,1,1.271334,,2.209427e-03,987872.2,4.876
318,1,1.318471,,2.204350e-03,984220.1,4.876
319,1,1.285864,,2.199264e-03,988422.8,4.876
320,1,1.240014,,2.194169e-03,991301.2,4.876
321,1,1.314471,,2.189064e-03,990734.9,4.876
322,1,1.312707,,2.183949e-03,986137.4,4.876
323,1,1.257943,,2.178826e-03,985008.3,4.876
324,1,1.290183,,2.173694e-03,985711.3,4.876
325,1,1.235879,,2.168553e-03,985923.4,4.876
326,1,1.253144,,2.163403e-03,984595.5,4.876
327,1,1.226547,,2.158244e-03,985948.1,4.876
328,1,1.285647,,2.153077e-03,986461.2,4.876
329,1,1.254931,,2.147901e-03,987673.4,4.876
330,1,1.293294,,2.142716e-03,988787.2,4.876
331,1,1.224096,,2.137523e-03,986422.3,4.876
332,1,1.272597,,2.132322e-03,988758.8,4.876
333,1,1.191173,,2.127113e-03,985799.6,4.876
334,1,1.270599,,2.121895e-03,985702.4,4.876
335,1,1.279857,,2.116670e-03,989171.5,4.876
336,1,1.291492,,2.111436e-03,989079.0,4.876
337,1,1.229131,,2.106195e-03,990643.8,4.876
338,1,1.255067,,2.100946e-03,988394.4,4.876
339,1,1.197407,,2.095689e-03,986785.2,4.876
340,1,1.349847,,2.090424e-03,992308.6,4.876
341,1,1.239270,,2.085152e-03,985750.1,4.876
342,1,1.247995,,2.079873e-03,990056.9,4.876
343,1,1.282444,,2.074586e-03,987733.8,4.876
344,1,1.264389,,2.069293e-03,990833.1,4.876
345,1,1.259129,,2.063991e-03,990926.0,4.876
346,1,1.201722,,2.058683e-03,988298.4,4.876
347,1,1.276548,,2.053368e-03,992315.7,4.876
348,1,1.255044,,2.048046e-03,988461.9,4.876
349,1,1.218647,,2.042718e-03,987971.6,4.876
350,1,1.239366,1.249484,2.037382e-03,987293.8,4.876
351,1,1.263632,,2.032040e-03,987345.3,4.876
352,1,1.252867,,2.026692e-03,988835.3,4.876
353,1,1.238829,,2.021337e-03,982147.0,4.876
354,1,1.231350,,2.015975e-03,983906.5,4.876
355,1,1.199579,,2.010608e-03,984847.8,4.876
356,1,1.187315,,2.005234e-03,983000.5,4.876
357,1,1.250030,,1.999854e-03,989378.0,4.876
358,1,1.173466,,1.994469e-03,982868.7,4.876
359,1,1.281838,,1.989077e-03,985849.1,4.876
360,1,1.188084,,1.983680e-03,986900.4,4.876
361,1,1.213266,,1.978277e-03,988773.0,4.876
362,1,1.215220,,1.972868e-03,989623.8,4.876
363,1,1.180461,,1.967454e-03,986815.3,4.876
364,1,1.180129,,1.962034e-03,987396.7,4.876
365,1,1.225484,,1.956609e-03,984830.1,4.876
366,1,1.212945,,1.951179e-03,988008.9,4.876
367,1,1.246176,,1.945744e-03,985075.4,4.876
368,1,1.156063,,1.940304e-03,985718.3,4.876
369,1,1.216609,,1.934859e-03,983514.0,4.876
370,1,1.188049,,1.929409e-03,984996.0,4.876
371,1,1.181214,,1.923954e-03,986179.8,4.876
372,1,1.212611,,1.918494e-03,987088.2,4.876
373,1,1.184075,,1.913030e-03,985054.2,4.876
374,1,1.273507,,1.907562e-03,985050.7,4.876
375,1,1.175366,,1.902089e-03,983860.8,4.876
376,1,1.155649,,1.896612e-03,982087.4,4.876
377,1,1.219498,,1.891130e-03,982229.5,4.876
378,1,1.186459,,1.885645e-03,988319.7,4.876
379,1,1.148290,,1.880155e-03,982350.6,4.876
380,1,1.248128,,1.874662e-03,981975.1,4.876
381,1,1.139270,,1.869164e-03,984874.2,4.876
382,1,1.226917,,1.863663e-03,987242.4,4.876
383,1,1.186729,,1.858159e-03,982671.9,4.876
384,1,1.212610,,1.852650e-03,983631.9,4.876
385,1,1.181175,,1.847139e-03,988869.0,4.876
386,1,1.183128,,1.841624e-03,988751.7,4.876
387,1,1.202178,,1.836105e-03,982320.8,4.876
388,1,1.152886,,1.830584e-03,983961.1,4.876
389,1,1.212806,,1.825059e-03,985273.1,4.876
390,1,1.158347,,1.819532e-03,985262.6,4.876
391,1,1.245128,,1.814001e-03,988085.3,4.876
392,1,1.170214,,1.808468e-03,986232.9,4.876
393,1,1.139912,,1.802932e-03,985644.1,4.876
394,1,1.204169,,1.797393e-03,988934.9,4.876
395,1,1.194358,,1.791852e-03,987542.1,4.876
396,1,1.199628,,1.786309e-03,989582.8,4.876
397,1,1.192498,,1.780763e-03,987925.4,4.876
398,1,1.155043,,1.775215e-03,983508.7,4.876
399,1,1.149788,,1.769665e-03,983623.1,4.876
400,1,1.161270,1.196968,1.764113e-03,981321.3,4.876
401,1,1.206799,,1.758559e-03,980696.3,4.876
402,1,1.162444,,1.753003e-03,980159.6,4.876
403,1,1.158155,,1.747445e-03,986231.1,4.876
404,1,1.207930,,1.741886e-03,987222.9,4.876
405,1,1.193973,,1.736325e-03,988243.3,4.876
406,1,1.153996,,1.730762e-03,986022.4,4.876
407,1,1.153730,,1.725198e-03,986217.0,4.876
408,1,1.178804,,1.719633e-03,991669.5,4.876
409,1,1.176131,,1.714067e-03,985492.2,4.876
410,1,1.196227,,1.708500e-03,987932.5,4.876
411,1,1.111032,,1.702931e-03,988005.3,4.876
412,1,1.185351,,1.697362e-03,988097.7,4.876
413,1,1.241107,,1.691792e-03,991181.4,4.876
414,1,1.167383,,1.686221e-03,984771.9,4.876
415,1,1.185275,,1.680650e-03,989068.3,4.876
416,1,1.175842,,1.675078e-03,987756.8,4.876
417,1,1.150981,,1.669505e-03,982745.7,4.876
418,1,1.141307,,1.663933e-03,983841.4,4.876
419,1,1.163433,,1.658360e-03,975351.4,4.876
420,1,1.176874,,1.652787e-03,979763.0,4.876
421,1,1.192715,,1.647213e-03,986643.6,4.876
422,1,1.151381,,1.641640e-03,988158.1,4.876
423,1,1.164120,,1.636067e-03,983188.6,4.876
424,1,1.131135,,1.630495e-03,986620.5,4.876
425,1,1.097656,,1.624922e-03,986845.5,4.876
426,1,1.187036,,1.619350e-03,988566.8,4.876
427,1,1.120264,,1.613779e-03,982099.7,4.876
428,1,1.142704,,1.608208e-03,982557.8,4.876
429,1,1.144065,,1.602638e-03,989038.1,4.876
430,1,1.140925,,1.597069e-03,990156.7,4.876
431,1,1.165038,,1.591500e-03,988883.3,4.876
432,1,1.217480,,1.585933e-03,987982.3,4.876
433,1,1.124492,,1.580367e-03,989214.2,4.876
434,1,1.124358,,1.574802e-03,986270.1,4.876
435,1,1.112915,,1.569238e-03,989105.7,4.876
436,1,1.162709,,1.563675e-03,985955.2,4.876
437,1,1.124503,,1.558114e-03,983267.7,4.876
438,1,1.178282,,1.552555e-03,987286.7,4.876
439,1,1.129234,,1.546997e-03,989964.2,4.876
440,1,1.144655,,1.541441e-03,991181.4,4.876
441,1,1.133700,,1.535887e-03,989007.8,4.876
442,1,1.160664,,1.530335e-03,984803.7,4.876
443,1,1.114116,,1.524785e-03,984015.7,4.876
444,1,1.172454,,1.519237e-03,985550.5,4.876
445,1,1.183364,,1.513691e-03,986183.4,4.876
446,1,1.163372,,1.508148e-03,985983.5,4.876
447,1,1.156511,,1.502607e-03,990492.1,4.876
448,1,1.145204,,1.497068e-03,990454.6,4.876
449,1,1.163762,,1.491532e-03,987428.6,4.876
450,1,1.147212,1.153118,1.485999e-03,988017.8,4.876
451,1,1.077912,,1.480468e-03,979784.0,4.876
452,1,1.147337,,1.474941e-03,991442.4,4.876
453,1,1.161253,,1.469416e-03,988698.3,4.876
454,1,1.172433,,1.463895e-03,987992.9,4.876
455,1,1.097132,,1.458376e-03,990522.5,4.876
456,1,1.159201,,1.452861e-03,984255.3,4.876
457,1,1.143800,,1.447350e-03,989438.6,4.876
458,1,1.163406,,1.441841e-03,987538.6,4.876
459,1,1.147369,,1.436337e-03,987829.6,4.876
460,1,1.086320,,1.430836e-03,990155.0,4.876
461,1,1.129415,,1.425338e-03,987363.0,4.876
